R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.004893016637724474,-0.5292965648652941,0.01199737017645732,0.5473753352673929,0.02286273442876315,-1.3056534795665231,0.00512331039627269,-6.644518272425249,0.0063065619777378365,-0.5133206714234383,0.014816680619040916,-1.620400',0.009236936662325307,-0.9154994049253867,0.0019786538861454855,-0.7771819382917541,0.005354115869492355,0.5443065534509036,0.022045369370163798,0.63500127000254,0.02866808095866063,-0.27288107842602194,0.02197879485872031,-2.830700'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.004929964918369641,-0.4851542790607413,0.01245778368553564,0.551298307514196,0.02335575485799701,-1.3231013495633765,0.004597086091010352,-9.487666034155598,0.0063708551216578495,-0.5220024012110456,0.014466839111388876,-1.537000',0.010264390161787318,-0.968710646130001,0.0015336181364453921,-0.7225955632632416,0.005775132510415451,0.48139411736388577,0.02176908659089573,0.6258997308631158,0.016644861897580836,-0.24712714691708884,0.023429299745089217,-2.875300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005009334895577909,-0.4830451164138731,0.011542785643544927,0.5550929780738273,0.023003788724002844,-1.2965123816932451,0.004807290159380898,-7.380073800738007,0.006720809508063628,-0.5514807257486352,0.014848228829024129,-1.530000',0.010819489796139174,-0.9720062208398135,0.001685310129084644,-1.168907071887785,0.005700919501306366,0.478080030597122,0.011201155959295,0.9202171712524155,0.02903887143330062,-0.27182038109217427,0.021660352673862238,-2.801900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005545158383586331,-0.4664831832812427,0.011572011470177768,0.5546311702717693,0.022579734688117414,-1.3326226012793179,0.005422052572221741,-6.635700066357001,0.006257199690393759,-0.5466571912753513,0.015217225899718481,-1.562300',0.010608875172792055,-0.9751340809361286,0.0013522473065600087,-0.6964273278083433,0.006186139706541904,0.45601714624469886,0.022017653754780583,0.6264879087833605,0.029587724644799362,-0.269774468544297,0.02229868192491142,-2.836600'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005413936012690267,-0.5088022794342119,0.011720952257045171,0.5401317921572864,0.022446084505018945,-1.3051422605063951,0.005063342413594062,-10.471204188481675,0.006659727230892078,-0.5605066980550417,0.014951169480476763,-1.612600',0.010725447841074605,-1.0222858311183807,0.0014488925607046136,-0.8930166101089481,0.00560722300038017,0.4851307427351671,0.011865351985666656,0.892936869363336,0.02903963038358448,-0.2713777850145187,0.02221003138277434,-2.813800'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0050808102876246704,-0.48607398045982597,0.012065913673214032,0.5543851868278079,0.022496175650139477,-1.3007284079084287,0.005103801106912384,-8.045052292839904,0.006799349166297802,-0.5896921806816842,0.01505872148442853,-1.565400',0.011112728630500661,-0.9545628102329132,0.001958724580406917,-0.6522306287503261,0.005604231418890519,0.4611907946317392,0.011882609325947103,0.900009000090001,0.028251939495646375,-0.2708045603487963,0.02281256059586408,-2.863900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005193696306918367,-0.5151187348683871,0.011049052267541751,0.5500247511138001,0.022422932381405112,-1.3354700854700854,0.005448798458207988,-5.1840331778123385,0.006523825336319506,-0.5430355688297583,0.01470132061963126,-1.584000',0.0108603929072946,-0.962000962000962,0.0015003516824343625,-1.1832919181161994,0.005748666022049584,0.4799616030717543,0.011016164017462823,0.9331840238895109,0.029187194993812313,-0.2715989027404329,0.0224010322395656,-2.853100'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005188016304897643,-0.513294322964788,0.011599703511578243,0.5597223777006605,0.02289639381797367,-1.3290802764486975,0.0058045952658881935,-4.752851711026616,0.006383466311575714,-0.5385319618719371,0.014826258489886267,-1.561100',0.01033081330360814,-0.9427736400490242,0.0014798363419392723,-0.6874269608854059,0.0048920448013462904,0.4975619464623346,0.02135077834262448,0.6286145335680161,0.028997274256219917,-0.27101739931703617,0.022327758092137724,-2.842300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005205754857880289,-0.4797083373309028,0.011359286273324875,0.5486968449931413,0.023364868117001912,-1.3066771200836274,0.005496970070097362,-4.329004329004329,0.006325630823533877,-0.5245488879563575,0.01469179551371332,-1.557900',0.01082767857819587,-0.9989012086704624,0.0011940893057003554,-1.0807305738679347,0.006222736635117392,0.4781943381790359,0.021037130535394973,0.629009938357026,0.02898584331412538,-0.2702483582412237,0.021765248733262525,-2.842900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005184393317109639,-0.4594954739695814,0.011930156094162335,0.5615138413161884,0.022929836991788827,-1.3203063110641668,0.00533057280736216,-6.613756613756614,0.006606516535780563,-0.5270925574530888,0.014777225930484974,-1.555200',0.0102538546803207,-1.0004001600640255,0.001388610588183507,-0.8433836552247618,0.005575251680799,0.4790648653827728,0.011943250451156287,0.9165062780680048,0.029109115519524942,-0.2725538293813028,0.02248150895888132,-2.826600'
