R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12
0.008886487562472008,-1.1863803535413453,0.002055107713333025,-10.256410256410255,0.011718891908456704,0.6823144104803494,0.008173981562767187,0.8891259891526629,0.01242943190038556,-0.23421946363742827,0.03831446984268079,2.510100',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005471887357915605,-0.5853772756541591,0.012699041603330198,0.5397527932207049,0.028841300742663493,-1.3804527885146327,0.005891411853284993,0.34641632313714626,0.020938768758519462,-0.9744689144416293,0.015422459728102033,-1.813100'
0.0075543136263953765,-0.9778994719342852,0.0027419323439161866,-4.434589800443459,0.012014292202003504,0.6932409012131716,0.0077843486329516156,0.8754267705506433,0.012508662248607161,-0.23167991103491417,0.03901479831300012,2.512600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005378440521170886,-0.5947778504728484,0.013017223087867558,0.5436259853220984,0.028469426682685466,-1.3948946854512485,0.006077117404438848,0.3422782037239868,0.020777580159904257,-0.948676596148373,0.015559746313896098,-1.865000'
0.008484131704266925,-0.9836710603974032,0.0026141009309597644,-6.648936170212766,0.012040910196483573,0.6417249566835654,0.008666660311115772,0.8563843452941681,0.01211307800579974,-0.2323096222645542,0.03888176056611843,2.514900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.00541788998107531,-0.6195403010965863,0.01240174715813964,0.5329638117571817,0.027952871458720593,-1.3711778417660772,0.005455058230019076,0.345865181752153,0.020991645325160586,-0.9502090459901178,0.015317102310584883,-1.822000'
0.008214544179050777,-1.220703125,0.002771431200329024,-4.095004095004095,0.011475878277654283,0.6298419096806702,0.00799926406770577,0.8735150244584207,0.021411442274751627,-0.2642147537518495,0.03863465141885757,2.520200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005304018377362873,-0.6105378838756945,0.012789293826352084,0.5393452348848498,0.028588418259994513,-1.355197181189863,0.005505574118516292,0.3447800303406427,0.02124351010766211,-0.9778994719342852,0.015487979778893601,-1.789000'
0.008193692331769158,-1.1947431302270013,0.0018424427695820805,-7.507507507507507,0.011719784637237506,0.6927126627874758,0.007844269290627039,0.8766546857192952,0.011834417563222416,-0.22897442355688868,0.038084646936280574,2.528200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005311309104911633,-0.5897965202005309,0.013007960872053696,0.5376633152320017,0.028911844893734516,-1.3776002204160354,0.005230672664504655,0.33272334054233904,0.020789458912752877,-0.9688983625617672,0.015566431302225379,-1.824500'
0.007718008661149319,-1.0598834128245893,0.0017387004466025966,-3.236245954692557,0.011683867266594304,0.6326711375427053,0.008772499267496311,0.8560178051703476,0.012218844390572917,-0.23223948535730043,0.03751711718471553,2.514900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005598060384038139,-0.5892404690354134,0.01231656023105867,0.5394616173059287,0.02806009349623153,-1.3570362328674175,0.005289919318150559,0.33531167219930924,0.02120836797366769,-0.9753242953281965,0.015265124685538433,-1.816400'
0.00811949954652595,-0.9625565501973241,0.0017649443574817138,-3.1201248049921997,0.011462723795353699,0.6633059166887768,0.008558046232277355,0.8862891075068686,0.012879295244964195,-0.23253110103476338,0.03718398262764332,2.507800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005507068873606161,-0.5728032993470042,0.012296115042452338,0.5326515393629487,0.028383690731305793,-1.386193512614361,0.004569780316950823,-0.3157662067005589,0.021886339859839878,-0.9951238929246692,0.015487236194290476,-1.796300'
0.008820940206374717,-1.0102030508132134,0.002006148041287329,-4.224757076468103,0.011110740753086008,0.6114338122898196,0.009494629362900875,0.8615490652192642,0.012593395771389567,-0.23462612327256516,0.037809756429549084,2.492500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005297311614355715,-0.5892404690354134,0.012277576357316761,0.5279831045406548,0.0281649678496892,-1.3468013468013467,0.003979060591543064,-0.3285690816494168,0.021929295565238555,-0.9938382031405287,0.015388711149275116,-1.823900'
0.008127233465346696,-0.9702144173862424,0.0027447854565895713,-24.691358024691358,0.010955710444955224,0.6056935190793459,0.010720434649302422,0.8682816705739342,0.012270706510468753,-0.23288851626726287,0.03800056240832364,2.508300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005429816097558592,-0.5880277549100318,0.012269261206436455,0.5384449709239716,0.02796686485851563,-1.3726835964310227,0.003999021039649494,-0.34092458748124915,0.021786824635669826,-0.9924573243350535,0.015295337675169853,-1.801400'
0.009194058064154298,-1.0738831615120275,0.0018697907629344646,-6.954102920723226,0.010092945939153667,0.6126700159294204,0.011617559243743364,0.8329168748958855,0.02079529527239757,-0.2629503023928478,0.03687968371983242,2.514400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005799058001018315,-0.590946696607966,0.013117609866541436,0.5283736658564937,0.027814941630344987,-1.3386880856760375,0.004006371733605126,-0.33622486719117745,0.02208939134891077,-1.0041168792047395,0.015182847026743067,-1.809100'
0.00900804328184636,-1.0344470880314471,0.0029898244315297315,-60.6060606060606,0.01025282439680071,0.6091246878235975,0.021280761340517717,0.8585164835164835,0.01167947320904038,-0.23179268462287334,0.03831887434474725,2.521500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005194556935460747,-0.6376737661012626,0.012376390796915802,0.5275374551593163,0.028102833889769446,-1.3835085777531821,0.004294842667028578,-0.31966243646709075,0.02199213561230504,-0.9946290033817385,0.01548440642850617,-1.845300'
0.008485053154615488,-0.9462528387585163,0.0017615201214039667,-3.5984166966534725,0.010629997427540621,0.6378771448618996,0.010637064425508106,0.829324929507381,0.012071739936092209,-0.23408787658887148,0.038483444422209565,2.500600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005400565331178868,-0.5804841237592152,0.012651277652530128,0.5304758368256326,0.028145229383619477,-1.3596193065941535,0.004621381746928514,-0.3145544336447422,0.021773779144203385,-0.9909820632246555,0.01537236479236547,-1.881800'
