R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class
0.0072369425654527,0.0260288555893063,0.0069524445838023,0.0041743073884823,0.0034174294369169,0.0021937045505549,0.0008558665888855,0.0011571431662653,0.0005682634091838,0.000416130673021,0.0056205573007385,0.0007411010256319,0.0033398806126276,0.0074767584962145,0.0266259821659171,0.0210504157457109,0.0217157623861279,0.006455069488823,1
0.0101671892601946,0.0274802279759712,0.0069881201956673,0.0103677761223895,0.0051909275045446,0.0047508601432289,0.0010763861754987,0.002305715777183,0.0007436527195342,0.0021964322033861,0.003771935217767,0.0022974720914577,0.0029987255416448,0.0059621510725611,0.0075982934232971,0.02442408018914,0.0133524540475293,0.0015441053623382,1
0.011147886750848,0.0308476312103993,0.0071677445759884,0.0029178431653462,0.0030283749649087,0.0048194513054688,0.0010595102540991,0.0033691348836519,0.0016462219617533,0.0024135560755964,0.0028886122240292,0.0051025849184938,0.0030444041568294,0.0048178654158203,0.0034649326295824,0.02646209701534,0.0264989811141761,0.0096490914897907,1
0.011567487032847,0.028855864954552,0.0079261536120274,0.0038629845727848,0.0028963083942837,0.0061947544058642,0.0007601373051216,0.0028997114497136,0.001610926982157,0.0011505200005246,0.0026846761904659,0.0057259273425627,0.002800150984141,0.0055737507552432,0.00319287248689,0.0283237976547895,0.0226998265733249,0.008028962071986,1
0.0031296818083802,0.0029885216859087,0.0153541668905816,0.0084435212861171,0.0179815042247544,0.0191094609029984,0.0014198670351316,0.0031498245547722,0.0058054613135668,0.0092924107951794,0.0077653437368231,0.0025401089554335,0.0006885116732334,0.0067580764081634,0.0103578212944376,0.0126108334625943,0.0455703355343805,0.0185450654362633,1
0.0044390130653471,0.0054602618523173,0.0240153698366954,0.0110611271067299,0.0234840461132729,0.0315589821597073,0.001664500596557,0.0078651225858006,0.0102622834401637,0.0107699548415793,0.0081746163448183,0.0159299084030266,0.0021218974941027,0.0095187872303565,0.005809056318801,0.0111010091927457,0.0300313827950207,0.0416072030389901,1
0.0083617912963786,0.0162333709406426,0.0280515924889055,0.012825988531001,0.02639643753679,0.0412979107386957,0.0016713654320178,0.0100224000641433,0.0131026566946714,0.0105977558192277,0.011824356282044,0.0208701604706638,0.0049336595469025,0.0105733057863473,0.0085986740844561,0.0187795190565169,0.0381641516490729,0.0655557158028608,1
0.010384388525666,0.0262103273931994,0.0291019149060008,0.0125799455539956,0.0244001229766198,0.0389020291298394,0.0014092881389659,0.008934825806636,0.0087935202308123,0.0138631650160258,0.0074794259690157,0.0217520871127584,0.0080486395384588,0.0115658949516025,0.0134634440566972,0.0210354931876555,0.0621708828887078,0.0749642045923071,1
0.0129401260368276,0.03428449963487,0.0251686298197926,0.0071366584452361,0.0206090382998367,0.0261839738369733,0.0018455625846882,0.0097793389949186,0.0065622740116887,0.0166018916195311,0.0068169439231375,0.0212921798082,0.0008346193426371,0.0142206446787058,0.007335772233075,0.0305084538925736,0.0170158315296551,0.0233481204763016,1
0.0144614205453401,0.0415656966618589,0.0213167347025782,0.0081772300123966,0.0108602513713782,0.0221175325680667,0.0014596588251848,0.0173341168354142,0.0064673347854655,0.0147664028894897,0.0122352296307897,0.0287189619818381,0.0024142185886622,0.0052484897470752,0.0137614047641983,0.047154241524025,0.0074040344583763,0.0158808302498054,1
