R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class,activity
0.0164009171392864,0.0449179797689419,0.0193369364491583,0.0126442871214142,0.008151673293977,0.0186510097656687,0.0014813803086929,0.0225655699047507,0.0081607737719259,0.0118795038168845,0.0219414207947621,0.0310294003568381,0.0035698157796566,0.001510510357645,0.0280368853263353,0.0551410784492123,0.0138749368690372,0.0163075738896172,0,pause
0.0177641664786625,0.0465135749868599,0.0174087433672687,0.0143850947402339,0.0080661423674127,0.0176349114815618,0.0012706743481472,0.0257492384662723,0.0085298540627268,0.0117239616673349,0.0259630338324293,0.0287161580077878,0.0041120686748365,0.0049566073806857,0.0384640534188773,0.0568779683189716,0.0286370483221553,0.0132435771961492,0,pause
0.0164103910596189,0.0471987539528956,0.0173220162826953,0.0140684175281227,0.0076417895848521,0.0177234573502722,0.0016413793035529,0.0272737438395431,0.0088981033692668,0.0114905415607142,0.0287420743729916,0.0259211737107456,0.004441903675542,0.0053723206222436,0.04551930701407,0.0584426210346681,0.0369429010521338,0.0121874676270391,0,pause
0.0172569105298216,0.0463643402586202,0.0175019164598523,0.0138083783716607,0.007918559202316,0.0174111075901982,0.0016589811599463,0.0279038099862155,0.0082948177296752,0.0114246805088095,0.0290926863895685,0.02609623770541,0.0050969984285953,0.0052454200925816,0.0472087808332349,0.0571118535652074,0.0393428175752234,0.0118871858513959,0,pause
0.0163294899157235,0.0457287098559088,0.0163902989098812,0.013215311788851,0.0083268245321573,0.0182054190250269,0.0017461956944052,0.0277052055310672,0.0086599580858028,0.0118143679254088,0.0287095625811045,0.0248391046993102,0.0050048096220467,0.0061485073576113,0.0489744745038885,0.0568101121999716,0.0403477980189231,0.0113496685329304,0,pause
0.0171486582889754,0.0457753893196861,0.0176478893124382,0.0126752511917904,0.0093841554166283,0.0176554607457313,0.0019665095556632,0.0281232247214394,0.0087509046247655,0.0118469656366914,0.0289586470520097,0.0242563017872043,0.0045527078368036,0.0060381186429932,0.049766594670993,0.0569690202467898,0.0412111121642839,0.0115582216520166,0,pause
0.0150819098524084,0.0412869983113617,0.0138630112678555,0.0108541688148875,0.0095050980593441,0.0195713100252078,0.0013044275663112,0.0272986858412636,0.0081254174433211,0.0123726850706232,0.0267599339564829,0.0263907252435204,0.0044330112159616,0.0054009357661308,0.0477438637199153,0.057346683641285,0.0386781360232687,0.0124317342393581,0,pause
0.0144668600403625,0.0306929234395717,0.0082690346976964,0.0063445738032547,0.0114672718328255,0.0208944932563023,0.0018611593720076,0.024842498559135,0.0076476922323919,0.0138302830644034,0.0234319898211436,0.0276133250861535,0.0038969551530607,0.0049472156822779,0.0380455252755447,0.0543939426905419,0.0285645730738908,0.0151176836080468,0,pause
0.0121012194398829,0.0491002381361549,0.0173800299979317,0.0216002315544822,0.0182778934362256,0.0167119839966041,0.0014647610711036,0.0240259287823419,0.0094777117391885,0.0164827466849075,0.0364944856832132,0.0132132163875594,0.0034364391068144,0.0039294861568132,0.0355181746499683,0.0540590216398263,0.0199930823934918,0.0180608759886072,0,pause
0.0110382951573895,0.0522231390284407,0.0232712920686782,0.0254895263536212,0.0227841294867646,0.0265549940649588,0.0017908084963118,0.0310645832686154,0.0093658302668044,0.0177566591911131,0.0393336873365193,0.0106235830796067,0.006061337094595,0.0088911017853332,0.0695236241274785,0.0538413081284222,0.0586871680507057,0.0094122076333003,0,pause
0.0102181367840662,0.0534725044382178,0.0228083980521628,0.0256397765237078,0.0233055143177427,0.0258767696475842,0.0018800939971794,0.0336271222917556,0.0090930666276271,0.0192469070220415,0.0375774565322771,0.0111847189895277,0.0066504174799573,0.0079675180225257,0.0748957077269901,0.0505735035300305,0.0622370484702133,0.0138149405819405,0,pause
0.0101587507987317,0.0519097600730889,0.0246971511836109,0.0248057708145222,0.0124724359166242,0.0242110232788988,0.001928757112774,0.0347936216332821,0.0082903410065966,0.0201735327285308,0.0367955492103675,0.0111928687994305,0.006122292798653,0.0064399710974097,0.0738394287781789,0.0507073677805385,0.062154266890422,0.0143964849542335,0,pause
0.0102659918488024,0.0542346407497396,0.0216420704535961,0.0239382202412015,0.0224179558859464,0.0237967189083969,0.0019849686265783,0.0353045013239188,0.0083227357165209,0.021098159185611,0.0360570855778869,0.0112784074888625,0.0068975173765706,0.0061055950451875,0.0739562918315275,0.0503025699582991,0.0629172198138908,0.0148961366869502,0,pause
0.010903817426481,0.0526753826866552,0.0222006136249605,0.024173624641626,0.023116576897293,0.0256543132596883,0.0020365690410142,0.035869806948699,0.0087990834874639,0.0203838274712842,0.036018643249746,0.0107236995905691,0.0063867319475828,0.0067234484298058,0.0747032413736432,0.0501002004008016,0.0633123769365673,0.014200632212146,0,pause
0.011926015768578,0.051933753304285,0.0207812935108332,0.0230902621437461,0.0118252371846948,0.0257537478141506,0.0015338983089844,0.0349956255468066,0.0080119474159867,0.0198253387654761,0.0354623761919791,0.0103507025021788,0.0058760724566742,0.0053564618212827,0.0736800223987268,0.0507841066059965,0.0630135605182235,0.0125122933281949,0,pause
0.0128721830836344,0.042119450762362,0.0120744364860491,0.0177531600624911,0.0190389517914701,0.0289666159750887,0.0017382208162719,0.0335000519250804,0.0087942626230647,0.0178217539457363,0.0350070189072909,0.0091302688498965,0.0054153579551608,0.0052056627199067,0.0679172496230592,0.0516670369470981,0.0597714340362454,0.0084776152807319,0,pause
0.0123186236648151,0.0280591486854288,0.0117015724573068,0.0121561777087306,0.0162896163469557,0.0386483885554391,0.0013072664405095,0.028392797315177,0.0080469426446116,0.016458521234784,0.0315336053632356,0.0077527733608505,0.004630579327149,0.0045806338131394,0.0447369245153872,0.0493422675732486,0.0361275591859738,0.0109812034740135,0,pause
0.0095858252484885,0.0518806744487678,0.0234351747912511,0.027848869753621,0.015182455154823,0.025076734808514,0.0011511013968385,0.0261043442849759,0.0092875863977724,0.0056631907889334,0.0278955590270029,0.032071840923669,0.0052176762348413,0.0059721173783838,0.0679477074443508,0.0515618071382165,0.0617699563286408,0.0113690754326785,0,pause
0.0084927276772899,0.0530740489130434,0.0244094142228774,0.028829161273211,0.0219434429700888,0.0275552689807581,0.0016475957459077,0.0303215907919393,0.0088057547368356,0.0067680933130561,0.0322430870821295,0.026455166429452,0.0059643985053217,0.0072237058911488,0.0809808399332717,0.045560369767961,0.0729953647943355,0.0139299823367823,0,pause
0.0064327131768983,0.0534968196140739,0.0242027610509806,0.0292367740143552,0.021202297480955,0.027061914955226,0.0016262428764463,0.0320160848810442,0.0097267843542728,0.0084683183274732,0.0333916574283081,0.0239303149229443,0.0073208746688219,0.0068502393816151,0.081323953970642,0.0434516231353822,0.0718236012353659,0.0171160485205743,0,pause
