R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,58.736200,-2.576200,215.225400,-0.782400',R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,99.399300,-2.322200'
0.003246993608617781,-1.4015416958654519,0.004763263426091537,-1.5743073047858942,0.0063351764473344105,4.761904761904762,0.015638317004323995,0.6665777896280496,0.022479133744102035,-0.23945786738823305,0.027412806715041132,2.390400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0027706464416864815,0.668359844940516,0.018927671688177966,0.5532197388802832,0.011370924092259128,0.47662170535246173,0.010821339681852614,0.43209609817223354,0.017517460528782062,-0.38782237735117314,0.004831120921507329,-0.655000',0.007940225978831357,-0.2943513966973773,0.007124034426183961,-0.3259664906447617,0.0010866463550729976,4.0387722132471735,0.017285666379724604,0.5770007501009751,0.01764673703008945,0.295307562826684,0.01040566484394104,-2.381600'
0.0005519211547515168,-0.2306326252911737,0.0004938088712763724,-0.47225501770956313,0.0007509245570878004,0.4576030750926647,0.00171586008945465,-0.6413134098634002,0.0005266032039592135,-1.0628122010840686,0.0003536533219240056,-2.603900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0005062079828391444,-0.9145783793671118,0.0004072327965421374,-2.891844997108155,0.0003571716987575318,-6.281407035175879,0.0009346812933072894,0.3943062182090612,0.0003465104320430671,0.7678132678132679,0.00014483259951241525,1.633500',0.0007332792710969396,-0.17615247758459723,0.00010311176032108507,-2.058460271716756,0.0005934506430957567,0.5552470849528041,0.0009720510062380401,0.45450413598763745,0.0007079131809611564,0.3427827100401056,0.00040603763343564,-0.780900'
0.0006288640156400997,-0.31907086563925846,0.0011074220421947731,-0.4354262823304014,0.0006974261835409513,0.8216251745953496,0.00142143238594391,-0.6402048655569782,0.0004419966473670304,1.6633399866932803,0.001183340786408053,-0.374300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.00046056824264982597,-1.1495574203931487,0.0007422534532785224,-0.8597713008339781,0.00022322365313544407,2.4993751562109474,0.0004229141125297483,1.1562030292519367,0.0008418220564955201,-3.1867431485022304,0.00023255378591168234,-1.542300',5.978051238152152e-05,-0.32580718730655195,0.00025749776852433795,2.1199915200339197,0.0003049734180594218,0.9280742459396752,0.0011096084546838127,0.4527345164795364,0.00047708758259340235,0.3249179582155506,0.0001953889001128957,-1.151500'
0.00027776052576289985,-0.4800307219662058,0.0008642698734536051,-2.808988764044944,0.000843734541201203,-8.19672131147541,0.0016509937826876132,-0.6381213706847042,0.0004307264576440185,-16.920473773265652,9.74764924959623e-05,1.029400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0004223118499353694,7.153075822603719,0.0003206822579173643,-1.4363688595231254,0.0004285030272453365,-0.5332764505119454,0.000312569712813761,0.7186489399928135,0.0002995351364449942,5.995203836930456,0.0004778239058358163,3.469700',0.0003629332892683929,-0.20246603632240692,0.00022455168144523618,-2.5568908207619536,0.0005836223431176452,8.703220191470844,0.001340407288116123,0.46453291215682635,0.0017100658580563256,0.32934821987287155,0.0003123320824641652,-1.844900'
0.0019065275308295037,-0.3091094556582486,0.000661396220649716,16.89189189189189,0.0005306855379859136,1.2295585884667404,0.0018083539078799203,-0.6509145349215648,0.0006116298853860642,-1.3077023669412842,0.0007356714738383453,-1.122900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0003774855393783289,-45.24886877828054,0.0001315545041953455,-0.6734006734006733,0.0005728342083757755,-0.6803646754660498,0.0007629396277480226,0.4859322610428106,0.0005292667580675073,-3.9603960396039604,0.0006061596488735371,3.476800',0.00048519488459033175,-0.24208971844965743,0.0026146559308894146,-0.6411489388985061,0.0005126111046123414,2.8066236317709796,0.0018328704419032307,0.47748651100606404,0.0012254194641461258,0.3620302657302151,0.0002010644472475956,-2.469500'
0.0007920634607581267,-0.27060670022189753,0.0013372250147195043,0.26430553720100436,0.00042004411891398603,0.41652782405864713,0.0026583463968905853,-0.5853772756541591,0.0004644588214060153,5.571030640668524,0.0008572021265470355,-0.480300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0002287628416307103,1.1285407967498025,5.555133643155358e-05,0.3992334717342702,0.0005694133038635376,-0.9527439024390243,0.00019865766617649212,-2.052545155993432,0.0005897061600351653,-1.0122482032594393,0.0003659290488457464,0.116400',0.00039538791072995014,-0.27225701061802343,0.00023009431635055507,5.865102639296187,0.0006225224772634559,0.7423904974016333,0.0022916001625202837,0.46687520425790185,0.0019369180650730868,0.33024008454146164,0.00048339824324377236,3.108200'
0.00039835934905373523,-0.18898590165173676,0.00041739596176085334,-0.5920663114268798,0.000101142865835364,9.900990099009901,0.0021991666477904864,-0.5077173030056864,0.00027242732034112916,0.9652509652509652,0.0004948810738919303,-3.314000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0003134158500851754,-1.518141794443601,0.0003376027135155702,-0.9039139473922082,3.9414970995527925e-05,-0.8847208705653365,0.00031717511158616896,0.5240266205523241,0.00015808704807201068,1.3711778417660772,0.0007510922383329839,3.242700',0.00012203887467807212,-0.2883256927024767,0.0006055165586071908,0.7232749891508752,0.0008567683025200898,2.2951572182694515,0.002143630993645849,0.4813477737665463,0.0021140853473167395,0.3301528607745386,0.000658161638706644,3.051500'
0.0006658582259992068,-0.41401010184648507,0.0006846755507427428,-2.038320423970648,0.00022143222094790437,4.518752824220515,0.0018113159427682124,-0.60790273556231,0.0006565829963256958,5.047955577990914,0.0006451793137188929,-2.887100',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0005962593668619913,-1.1096316023080337,0.0008014882675342189,-1.4154281670205238,0.00010052266963120081,0.5714285714285714,0.0001763906479936234,47.16981132075472,6.844169987144253e-05,1.3056534795665231,0.00018355453765998546,1.049400',0.0007912487257928332,-0.21867483052700631,0.0004348759935883623,-2.2670596236681027,0.0005030681371080011,0.5364806866952789,0.002694660234333043,0.4445234708392603,0.0024287389768645608,0.34675266132667565,0.0011681582489962016,-2.535000'
0.0015124106146421614,-0.3300438958381465,0.0009405644176580059,-0.4599604434018674,0.0005042900712798887,0.44226261554110835,0.001964574787433008,-0.5793742757821553,0.00028139146956132193,-2.142704092564817,0.0007075040854823417,-0.707000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0003814189762348516,0.451222813825467,0.00012716112719946628,0.4189534542712305,0.00022399050280268114,1.1680878402055834,0.00025378460736970705,0.46072333563695,0.00024887286103419763,-10.91703056768559,0.0006169792694965449,2.559300',0.00044032505676340386,-0.18745899334520572,0.0006054674314527616,-1.9519812609798948,0.0003455836159084165,0.690035881865857,0.0024845572345089098,0.45835816106705773,0.001856916419449194,0.36953549388418755,0.000786150419505587,3.330500'
0.0009869192732602809,-0.27450657443245763,0.0003776596634591654,-1.3715539706487452,0.00023561229403273933,0.33536789858474747,0.0031702644412678394,-0.6059137178865729,0.0008819966145441948,-2.57201646090535,0.0011517059298574235,-0.571100',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.00015275905460965112,0.5160491278769739,0.0007571726205168945,-0.5943183168905265,0.00033635534031205635,-0.4174319585907497,0.000661396876817808,0.5624929688378895,0.0008175914948246049,-5.162622612287041,0.00019214244610899154,3.443800',0.0005048152560420455,-0.25178135307299143,0.00016052938481559933,0.823587547356284,0.0005946066442178874,0.5782017924255565,0.0033547117933551214,0.4427521473479146,0.0024345637943358413,0.35994528831617595,0.0003952520114967743,-2.567300'
