R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11,class,activity
0.0071354770209098,0.0117823378043377,0.0101834860516791,0.0100323543427553,0.016003328692368,0.0446301056840902,0.0077788685480119,0.0114468995500223,0.0353528033005377,0.0024118650252799,0.0590751199224934,0.0557056513383282,1,painting
0.0105205682369316,0.0184729860288806,0.0183180377717938,0.0144421850448285,0.0143728961673235,0.036914262932912,0.0083258262133642,0.0105475552349098,0.0354524440914956,0.0095853290787252,0.0568120486992881,0.0441462122549885,1,painting
0.009568517281699,0.0202895316161626,0.0235014312371623,0.0150974160772383,0.0143821569208377,0.0407712285594301,0.0090350805070848,0.0116131744496226,0.0362459359244344,0.0133192327056422,0.0595181411294162,0.0489915097713566,1,painting
0.0116306117701791,0.0216070456254375,0.0294351396697377,0.0179940583619288,0.0189398602617109,0.0445533526397861,0.0090197921298705,0.0100738412564094,0.0377776182722784,0.0201948398145305,0.0587626927416321,0.0644383872360442,1,painting
0.0104210739125088,0.0221106860945895,0.0311516775178343,0.0193767657077751,0.0208910448447168,0.0433975037755828,0.0091622329094578,0.00822459053876,0.0421631376120485,0.0320711209177471,0.0307286689262481,0.0700446885112701,1,painting
0.0119221767987286,0.0204049151359579,0.0295135865795819,0.0212958979841302,0.0173311126401003,0.0385089340727048,0.0094159919323781,0.0087026824278047,0.040850674444635,0.0323502104381189,0.0279606872736931,0.0704002252807209,1,painting
0.0096361022351902,0.019324754430683,0.0298740212523787,0.0211186105643737,0.0216837896325465,0.0333462272078537,0.008904227905494,0.0113374571444119,0.0367802563583868,0.0161753930216119,0.0620732464307883,0.0645223731328838,1,painting
0.0109685203466052,0.0186322442165513,0.0309864217499891,0.0216319581897512,0.0144839163351056,0.0343508041523252,0.0092117420233222,0.0090436191840485,0.0382349230139825,0.0213289651612683,0.0581361548747165,0.059173698474502,1,painting
0.0115975510611179,0.0192055434880723,0.0341611724114371,0.0212711195628359,0.0154900669945397,0.0326080222256279,0.0101587301587301,0.0078522150313381,0.040515027023523,0.0345375423084893,0.0317209570847171,0.0636132315521628,1,painting
0.0102157672194418,0.0204421640074818,0.0334043733005525,0.0216866581510388,0.0154530844356533,0.0321094289338064,0.0098615050234506,0.0079264111984337,0.041185652566072,0.038671106109648,0.0266040230603671,0.0588713190707751,1,painting
