timestamp,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,Label,Class
1686750380.9487803,101.9691,-1.1028,867.0952,-0.9592,103.8024,1.2218,309.7872,0.5609,46.3808,-3.9575,32.613,2.713700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',178.3941,-1.6178,78.1139,1.8672,34.6041,-0.7058,490.0698,-3.0291,72.1315,-1.1948,62.416,-1.752800',lifting,1
1686750381.1594846,100.5288,-1.017,887.6729,-1.1432,110.1511,1.2043,236.9297,0.714,46.3186,-3.9335,31.5812,2.717900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',184.5393,-1.6239,74.412,1.868,33.1979,-0.717,505.0205,-3.1518,70.5236,-1.1588,64.6819,-1.697300',lifting,1
1686750381.3701725,110.2143,-1.2962,873.1026,-0.9335,121.0511,1.2712,226.905,0.6706,46.5508,-3.9742,33.0577,2.713500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',185.1574,-1.49,77.382,1.8525,34.1631,-0.7123,591.2353,-2.9829,68.7527,-1.1194,63.1678,-1.713200',lifting,1
1686750381.580875,103.7947,-1.1285,1287.9377,-0.8537,132.6493,1.5788,139.3556,0.8777,45.8627,-3.9465,33.3175,2.727000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',189.624,-1.6171,77.3522,1.8701,34.2005,-0.7247,632.5263,-3.0528,67.9706,-1.1714,63.3561,-1.687400',lifting,1
1686750381.7916195,102.5878,-1.141,650.7233,-0.4701,136.2652,1.3859,145.7193,0.9278,47.2444,-3.932,33.3067,2.729300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',176.2697,-1.6357,77.8723,1.8761,34.3479,-0.7244,562.7778,-3.1917,69.0463,-1.1574,62.7773,-1.702900',lifting,1
1686750382.0022771,94.4192,-1.108,1699.1612,-1.6316,123.755,1.3665,162.7726,0.9251,46.6857,-3.9389,33.1537,2.721500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',183.4799,-1.6594,80.694,1.8485,33.2445,-0.7237,694.1645,-2.8483,70.148,-1.1466,61.374,-1.684300',lifting,1
1686750382.2129977,109.5826,-1.2343,1451.4686,-0.6107,116.2318,1.2557,238.6652,0.7754,45.9723,-3.9473,32.6494,2.721000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',181.4888,-1.5704,77.085,1.8808,33.8354,-0.7238,672.1118,-2.9729,71.1542,-1.1664,63.6054,-1.694900',lifting,1
1686750382.4236667,100.9021,-0.9846,964.4501,-1.2495,102.7644,1.1568,304.0398,0.596,46.749,-3.9384,32.9526,2.707000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',183.7221,-1.7234,73.5129,1.8587,33.6134,-0.72,923.4146,-2.4272,71.1437,-1.1878,62.1818,-1.729200',lifting,1
1686750382.634352,95.3554,-1.0324,1031.0751,-0.9341,95.3887,1.1209,280.8342,0.3097,46.0464,-3.9609,32.4564,2.706800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',172.4028,-1.5199,80.5009,1.8526,33.7237,-0.7176,623.5846,-2.6211,74.2828,-1.2119,63.2426,-1.676700',lifting,1
1686750382.845063,108.5414,-1.1162,1480.262,3.864,91.2359,1.0874,322.5937,0.6548,47.0451,-3.9702,33.7269,2.732200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',182.0164,-1.8441,77.1329,1.8298,34.1461,-0.7275,663.6968,-2.5056,71.1678,-1.1837,63.3746,-1.708600',lifting,1
1686750383.0557494,112.6291,-1.0942,622.0925,-0.8913,100.6937,1.1379,295.2562,0.6384,46.4347,-3.9755,33.333,2.716900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',179.389,-1.567,79.4952,1.851,33.9082,-0.7247,846.9956,-2.7031,70.993,-1.2096,63.2954,-1.660300',lifting,1
