timestamp,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,Label,Class
1686748816.6656911,108.8872,-1.1791,349.3221,-2.2632,105.0039,1.7341,75.0558,1.2242,19.4345,-3.7944,34.1345,-3.114900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',188.5634,-1.915,72.6421,1.8982,43.317,-0.8372,147.733,-0.5393,65.488,-0.9201,66.2624,-1.203300',drill,0
1686748816.8764148,106.4914,-1.1957,342.5632,-2.0882,103.6071,1.6842,72.2101,1.2253,23.3752,-3.6243,33.9587,-3.120400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',175.6985,-1.8713,73.2686,1.8801,43.9336,-0.8467,139.6667,-0.5341,66.4683,-0.9397,66.2949,-1.205000',drill,0
1686748817.0871744,114.073,-1.1736,267.5211,-2.1754,107.5013,1.6838,69.9079,1.2492,23.4916,-3.6238,35.2035,-3.102400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',187.7382,-1.8253,73.2365,1.9078,42.2677,-0.8525,125.9122,-0.5422,64.1811,-0.9264,63.5017,-1.147900',drill,0
1686748817.2978115,106.2241,-1.1225,440.1372,-1.4115,97.6607,1.7494,72.4557,1.2476,23.3274,-3.6197,35.0691,-3.104500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',187.444,-1.849,74.642,1.884,43.0852,-0.848,139.9965,-0.5587,66.5269,-0.9362,65.2605,-1.214700',drill,0
1686748817.5085237,109.443,-1.076,369.5128,-1.7262,104.8343,1.6996,78.1021,1.2343,19.4741,-3.806,35.1977,-3.110300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',177.988,-1.9744,73.668,1.8841,42.8916,-0.848,138.0878,-0.4897,64.646,-0.9142,63.8367,-1.172900',drill,0
1686748817.7192297,106.2845,-1.2245,441.1404,-1.4543,105.0461,1.7011,73.6107,1.2239,23.1132,-3.6225,34.1777,-3.117300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',186.7579,-1.8399,75.7378,1.8843,43.2666,-0.8382,139.4078,-0.5229,65.5965,-0.9124,65.384,-1.192500',drill,0
1686748817.9299128,104.3021,-1.0829,380.9709,-1.5408,105.4418,1.794,75.1836,1.1981,22.9595,-3.6209,33.1118,-3.164300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',187.2458,-1.8088,72.9687,1.8839,43.3688,-0.8429,134.2379,-0.5145,63.2703,-0.9088,64.4449,-1.140300',drill,0
1686748818.140645,113.1136,-1.2919,292.0619,-2.1079,101.2815,1.7978,75.9453,1.2256,22.8637,-3.6234,34.1375,-3.129900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',177.6224,-1.9246,74.4727,1.8743,43.0949,-0.84,135.0767,-0.5257,64.4799,-0.8944,66.5482,-1.169200',drill,0
1686748818.3512993,101.213,-1.0424,310.0625,-2.0491,99.5517,1.758,77.5222,1.2076,23.288,-3.6139,34.3884,-3.125800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',181.7402,-1.8301,77.6135,1.888,43.4687,-0.847,142.2074,-0.5206,63.3499,-0.9269,65.1196,-1.187800',drill,0
1686748818.5620055,113.54,-1.0867,364.3459,-1.5533,100.2319,1.7021,73.4397,1.2217,23.0536,-3.6247,35.1033,-3.122400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',184.8032,-1.9023,74.3523,1.8667,44.4157,-0.8476,136.6856,-0.5431,64.8278,-0.9269,64.6355,-1.228000',drill,0
1686748818.77269,106.3809,-1.12,374.1668,-1.7422,103.5153,1.7133,69.1696,1.2238,23.1302,-3.6192,33.7584,-3.136700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',177.4433,-2.0406,71.6714,1.8854,41.2315,-0.855,142.1655,-0.5378,65.3177,-0.9121,63.7308,-1.141800',drill,0
1686748818.98339,109.0921,-1.1181,346.5565,-1.9361,101.0332,1.7426,70.9605,1.2056,23.1051,-3.6144,34.2739,-3.141600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',179.0007,-2.0443,72.0069,1.8881,44.5037,-0.8399,151.0768,-0.5242,64.5726,-0.9154,65.6465,-1.155100',drill,0
