R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11
0.008886487562472008,0.002055107713333025,0.011718891908456704,0.008173981562767187,0.01242943190038556,0.03831446984268079,0.005471887357915605,0.012699041603330198,0.028841300742663493,0.005891411853284993,0.020938768758519462,0.015422459728102033
0.0075543136263953765,0.0027419323439161866,0.012014292202003504,0.0077843486329516156,0.012508662248607161,0.03901479831300012,0.005378440521170886,0.013017223087867558,0.028469426682685466,0.006077117404438848,0.020777580159904257,0.015559746313896098
0.008484131704266925,0.0026141009309597644,0.012040910196483573,0.008666660311115772,0.01211307800579974,0.03888176056611843,0.00541788998107531,0.01240174715813964,0.027952871458720593,0.005455058230019076,0.020991645325160586,0.015317102310584883
0.008214544179050777,0.002771431200329024,0.011475878277654283,0.00799926406770577,0.021411442274751627,0.03863465141885757,0.005304018377362873,0.012789293826352084,0.028588418259994513,0.005505574118516292,0.02124351010766211,0.015487979778893601
0.008193692331769158,0.0018424427695820805,0.011719784637237506,0.007844269290627039,0.011834417563222416,0.038084646936280574,0.005311309104911633,0.013007960872053696,0.028911844893734516,0.005230672664504655,0.020789458912752877,0.015566431302225379
0.007718008661149319,0.0017387004466025966,0.011683867266594304,0.008772499267496311,0.012218844390572917,0.03751711718471553,0.005598060384038139,0.01231656023105867,0.02806009349623153,0.005289919318150559,0.02120836797366769,0.015265124685538433
0.00811949954652595,0.0017649443574817138,0.011462723795353699,0.008558046232277355,0.012879295244964195,0.03718398262764332,0.005507068873606161,0.012296115042452338,0.028383690731305793,0.004569780316950823,0.021886339859839878,0.015487236194290476
0.008820940206374717,0.002006148041287329,0.011110740753086008,0.009494629362900875,0.012593395771389567,0.037809756429549084,0.005297311614355715,0.012277576357316761,0.0281649678496892,0.003979060591543064,0.021929295565238555,0.015388711149275116
0.008127233465346696,0.0027447854565895713,0.010955710444955224,0.010720434649302422,0.012270706510468753,0.03800056240832364,0.005429816097558592,0.012269261206436455,0.02796686485851563,0.003999021039649494,0.021786824635669826,0.015295337675169853
0.009194058064154298,0.0018697907629344646,0.010092945939153667,0.011617559243743364,0.02079529527239757,0.03687968371983242,0.005799058001018315,0.013117609866541436,0.027814941630344987,0.004006371733605126,0.02208939134891077,0.015182847026743067
0.00900804328184636,0.0029898244315297315,0.01025282439680071,0.021280761340517717,0.01167947320904038,0.03831887434474725,0.005194556935460747,0.012376390796915802,0.028102833889769446,0.004294842667028578,0.02199213561230504,0.01548440642850617
0.008485053154615488,0.0017615201214039667,0.010629997427540621,0.010637064425508106,0.012071739936092209,0.038483444422209565,0.005400565331178868,0.012651277652530128,0.028145229383619477,0.004621381746928514,0.021773779144203385,0.01537236479236547
0.008127695855118945,0.0025689407358216953,0.011511480399402325,0.010305485506880457,0.02236656109649829,0.03780947051617489,0.0053511963402097995,0.012760815109825954,0.028914603609699115,0.004629432450099348,0.021274649340592245,0.015529975959597216
0.008176915749148578,0.001689462014473959,0.011580963675149335,0.008956705078989182,0.021770129205716835,0.0378343611668117,0.005561518739537394,0.011998176277205863,0.02887144412076348,0.0047255339026341546,0.02087865741881334,0.015499718680105955
0.0076785158964475355,0.0024776669297123057,0.012200701540338569,0.008434683079435314,0.011985033090676363,0.03789342852162578,0.004899246985738292,0.012171417373724588,0.028287662901578733,0.004848289741552219,0.020750332005312084,0.015552317217503824
0.008508987192272478,0.001998980519934833,0.011992765963570774,0.008073983525844014,0.0118697179755009,0.03756884490829445,0.0055552315003847,0.012380466595025032,0.028886038799727315,0.004568264721804099,0.020871728617435824,0.01518529091980344
0.008522119587495323,0.0033176353885531625,0.012084562937612234,0.00774599938496765,0.02077766650183051,0.03739687810861549,0.0055703851587114135,0.012580863500147196,0.028167109829194646,0.004345430432266038,0.02053839344578788,0.015539556718605045
0.0067797023846247195,0.002645620928554742,0.01218424528347865,0.008927208435140705,0.012560794244141646,0.03835664778241041,0.005215956236040797,0.012383057500727506,0.02815426283693614,0.004521486556264023,0.01996259010614109,0.01573286847951266
0.007270839498399325,0.002576273806380142,0.011896434400681426,0.008519273578580502,0.012157345224837942,0.038206874945077615,0.005427870923058301,0.013383279733298002,0.028596838905427396,0.004479176978105335,0.020560605468709844,0.015360959506974645
