R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class,activity
0.0032265662559247,0.0099445294149235,0.0309361910124177,0.0028870685600832,0.0187748649617837,0.0320515902396497,0.0008372814643048,0.0007566341493052,0.0014129308891701,0.0002099298674695,0.0004547077438729,0.0006281344695197,0.0103001144342713,0.0117587020274354,0.0187934598759631,0.0036117368445194,0.0222988310952739,0.0613173417705995,0,pause
0.0066016797313908,0.0216620418207379,0.0419190543061348,0.0009595879145659,0.0263675531438033,0.059063256747977,0.0005701284180053,0.0005398743356103,0.001568709146892,0.0005444737897668,0.0005795289287512,0.0018839736017618,0.0128196417422918,0.0149077508378155,0.0212973946897076,0.0384253299775211,0.0308019282007053,0.031158666159819,0,pause
0.0084187414655008,0.0274225792032643,0.0416246950991084,0.0011699208209287,0.0268706687840753,0.0772899067110826,0.0004332304757537,0.0005224511632244,0.0026000789903997,0.0013419981681725,0.0012680627614983,0.0030720833640541,0.0126090843409042,0.0161821986105964,0.0243879835527438,0.0297084119368399,0.0185498815590062,0.0306810581283327,0,pause
0.0116714033111771,0.0300580119630887,0.0397653842330251,0.0012642563871496,0.0266535886391743,0.083462700519138,0.0011780667994505,0.0010040077983293,0.003451675166992,0.0040008273711003,0.0023439140739851,0.0037190551368519,0.0116337644418643,0.0160041226619977,0.0247385751075509,0.017661510094436,0.014664175712019,0.0346110582331054,0,pause
0.0122348254518626,0.030763929907462,0.0378086128019962,0.0010555927945235,0.0255470256875343,0.087332430898214,0.0007250374499968,0.0007305327095655,0.0039056351675888,0.0039449241253018,0.0020288383135565,0.0036816194413068,0.0101602990379212,0.0166361670271169,0.0240902904084508,0.0102987884505266,0.0165675101186068,0.0388897747115351,0,pause
0.0106368607645562,0.0298441538287064,0.0419160672669047,0.0027625858577152,0.0256196102744885,0.0920903590603099,0.0011137685629021,0.0017945601856005,0.0041341772015837,0.0039949631504599,0.0029467354002521,0.0056649745387719,0.0089938895514387,0.0154647226479316,0.0229661731236062,0.0098960714575527,0.0207568788296441,0.0467370526679846,0,pause
0.0115621238696578,0.0296608284269379,0.0482118234675871,0.0127657021327658,0.0240274297137612,0.094099048658618,0.0011010577200882,0.0019950586387635,0.0046303070263983,0.0042994923159473,0.0025053238131028,0.0062287211314347,0.0078426021126401,0.0157871637728795,0.0243488508559838,0.010251836360188,0.0258069844022586,0.0551046161136918,0,pause
0.0124059935836201,0.0303500268597737,0.0520405083316853,0.0197494973752918,0.0232675559526551,0.0943716733985127,0.0009689760984603,0.0019191157942654,0.0049345919832618,0.00401980800593,0.0037127187348242,0.0043135521023174,0.0074083677513751,0.0172453933243082,0.0246279334947283,0.0108761145298364,0.0274160383824537,0.0579636220308134,0,pause
0.0116525942170505,0.03141769193068,0.0515017922623707,0.0222963451830975,0.0227533356390046,0.096199170763148,0.001300489218034,0.0017602181543971,0.0047965656589881,0.0039024908037804,0.0035525947441492,0.005828813574141,0.0078816988528975,0.0163066165727405,0.0243487322832536,0.0106606966765278,0.0279249266272552,0.0590601172933929,0,pause
0.0119810842641637,0.0310929804487338,0.0524076053916944,0.0251503361342424,0.0222283473668299,0.0951311859053635,0.0012083380156431,0.0022108070882896,0.0049620256179458,0.0039519084358623,0.0035317456253149,0.004825581760073,0.0066012744420437,0.0166668888918518,0.0238893255326722,0.0111535068298499,0.0283223537008819,0.0590957173333648,0,pause
