R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class,activity
0.0048102732042769,0.0206127766234622,0.006703450735335,0.0119292452605108,0.0073815392133198,0.0133813097893648,0.000463912781428,0.0010574047037802,0.0006701753473585,0.000944899597331,0.0005628836122177,0.0005439209356527,0.0056803270959554,0.0095707151429769,0.0176656597240623,0.0069083005995023,0.0458528398956389,0.0252131138447729,0,pause
0.0043022521429517,0.0303992023249309,0.0074390260232008,0.0135505394469753,0.0059983468556065,0.0085203115707535,0.000454300648446,0.001274667362805,0.000257140919035,0.0008750031718864,0.0013661291768033,0.0006179900614838,0.0064281852782986,0.0128353557575555,0.0271395461182307,0.0038110177284733,0.0408124951535162,0.0114084404205607,0,pause
0.0062668342835943,0.0335935715341512,0.0101814020401493,0.0188984115885059,0.0063977684583617,0.0080816048127572,0.0004309447459453,0.0021709553527835,0.0004530419729796,0.0016705727441713,0.0008919943772242,0.0007967535162525,0.0056170529233109,0.0127118590203987,0.0257749230618546,0.0042883264891642,0.045090338493171,0.012992665640246,0,pause
0.0051939175070858,0.0317752851831845,0.0129475817154251,0.0193384696308672,0.0041438787865728,0.0160174782722907,0.0004932100755321,0.0008704245913748,0.0007568022139794,0.0011874386094238,0.0005258772631916,0.0130484593684023,0.0045307235157689,0.0129162253623001,0.0178037316621563,0.0043920309234113,0.0566382908829343,0.0182168276123386,0,pause
0.0060124734774763,0.0320596052180213,0.0147251332992691,0.0183678679864592,0.0043458647792865,0.0221056028861075,0.0008581442870073,0.0012859233952286,0.0006421333622378,0.0010923885425046,0.0006776588810211,0.0007480639543812,0.0030602292907398,0.0125231521775883,0.0121785472454561,0.0132210426114203,0.0394969666329625,0.0014191905788452,0,pause
0.0061353494909807,0.0312251174845045,0.013751639883056,0.0130982288574938,0.0063678327654287,0.0206178340140654,0.0003574606907627,0.0016087730901168,0.0006378953332406,0.0016576570244625,0.0013889317142834,0.0005138745089672,0.0057069286679571,0.0138458705383412,0.0161188669726027,0.0048722923453363,0.0510571380431841,0.0095445621288954,0,pause
0.0065384733580095,0.0307951934862006,0.0142916963814853,0.0161870445370343,0.008367311591153,0.0204833245255037,0.0008264210785638,0.0012205243372552,0.0006113911214515,0.0013665686472528,0.0011406428617543,0.0003885790402797,0.0029183055384186,0.0117788959876368,0.0072425141373875,0.0110423784399769,0.0447551446038722,0.0015847654594662,0,pause
0.0063874376985295,0.030828896541306,0.0148159122897992,0.0116564517294677,0.0106678159460379,0.0193610467356307,0.0005292945197427,0.0018365945129902,0.000821537357645,0.0008040985869897,0.0012410860545489,0.0018403354416216,0.0029176899248373,0.0123174097965287,0.0084660528213967,0.0123310035957206,0.0398623950124171,0.0015263097645667,0,pause
0.0054697383988216,0.0316378603947772,0.0146522508055074,0.018362909860148,0.0079579248596818,0.0181677794431575,0.0007516009852586,0.0018018031003986,0.0002804032714986,0.0008381668319112,0.0008384924375528,0.0007802280840758,0.006011866221548,0.0138047756240793,0.0151058770925416,0.0038100579433612,0.0591222707681756,0.0163846325254617,0,pause
0.0074399835129965,0.032,0.0140917712510956,0.0176578924599033,0.0083732387938851,0.0224358111443161,0.0008591446150018,0.0013722467755288,0.0001949937461605,0.0006199880553101,0.0011187015007939,0.0003079411715344,0.001991625612624,0.0114876903653889,0.0036213396856459,0.0162819512941709,0.039478567085929,0.0036408889303141,0,pause
0.0055888683156436,0.0323450832238991,0.0142335382013931,0.0144176772256928,0.0087936362213393,0.0236713843735723,0.0006424889507962,0.002059882854462,0.0003958706259957,0.0001618693265509,0.0011216632201694,0.0007799332533121,0.0071540122920239,0.0139426260936247,0.0150283058140006,0.0027874455681566,0.0641395676993137,0.021947536608491,0,pause
