R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11,Label
0.00872409271616775,0.0013606121557362117,0.009917634049221217,0.006542943958376408,0.022158455112509554,0.029054648889095498,0.005919951598475731,0.012841553211544041,0.029630068593608797,0.0024875281557093123,0.01341593974633141,0.01670330257698552,sanding
0.007445417643257281,0.0012349502784318898,0.009357250465523211,0.00579664443846746,0.030598257123274256,0.028409010201675564,0.005952267575855698,0.012957261767785137,0.03029229030919341,0.001692913885702919,0.013672352998278651,0.017165466514466196,sanding
0.007301460511146045,0.001401258301929967,0.010614404171036262,0.006769431144392643,0.028559923002447585,0.028274306007159054,0.005636419385675379,0.012861339328432307,0.029681253023777655,0.0010242451108683878,0.012839739507364873,0.01730627785229092,sanding
0.0074789225265894385,0.0017460929424320142,0.0105093570060103,0.00607235330408888,0.04020003537603113,0.02864443094973475,0.005621852816520152,0.01338209769734245,0.029242074666713455,0.0014116713030657832,0.013007571707490931,0.017419842594302317,sanding
0.007407264748975205,0.0019989125915501967,0.01065060271760779,0.006438689829638705,0.03970207562451365,0.028711376021407203,0.005776727183660643,0.013018222908427217,0.029193756039458278,0.0012749914256826624,0.01291112241551607,0.01747735371891871,sanding
0.006916758198433492,0.010910443804122621,0.011351008366828268,0.006206265224744379,0.029160725168913496,0.02784809421567235,0.006070591263447877,0.013532458956051987,0.02915145932205366,0.0011875976799091727,0.013135685058815029,0.01743876812541962,sanding
0.00849944073679952,0.0015290038264849763,0.011336840195900599,0.005488103711988708,0.04001120313687833,0.02926398159880837,0.006218731440973356,0.012967881151962818,0.02962436307619386,0.0013682095418386163,0.012864416765937083,0.017310172322765473,sanding
0.007573864109730144,0.0013831115168238227,0.010594555881514726,0.007027762472872837,0.028997442425578068,0.027014979806302596,0.006118906257744241,0.012855949090441602,0.029344186769879953,0.0014500365264201007,0.012906773087313028,0.017301606800223537,sanding
0.007791639103743336,0.002068140685683772,0.010506662800214756,0.01807265931952823,0.039433265113784685,0.02924523887511113,0.006046340361800915,0.013680227420100631,0.029705852647088526,0.0012598745820051106,0.012834103807365235,0.01719589912197739,sanding
0.008926841852962417,0.0019172639263341186,0.010665199135265653,0.007032630703199777,0.02844893558307516,0.028641723544356006,0.005585830758265353,0.013315774265668339,0.02960165058803679,0.0013202768514935432,0.013021918493207768,0.017218075535697375,sanding
0.008310286139772364,0.0014142407252678995,0.010501488060858225,0.0060887879232544816,0.03996291441542249,0.027622783271642453,0.005665003421662066,0.013041924570725054,0.02938998154309159,0.0016341108214740462,0.013307038625010313,0.017111303898468367,sanding
0.008013687378041695,0.0012867510578058758,0.010124070483778707,0.006153168358685413,0.029088116631712443,0.028671697593871136,0.005912059300319606,0.013243770130530599,0.02944207272191962,0.0014057330855869342,0.013493838038859554,0.016812910970592537,sanding
0.008516581784734878,0.0012295040143920821,0.009686430860193806,0.0062855131492935085,0.03957590460623953,0.028316499174574048,0.006115078438111125,0.013258027735794023,0.029660124631843705,0.0023407861623957853,0.013599965184089128,0.016605971839592955,sanding
0.008530239699735563,0.0011935964505306194,0.009702991432258565,0.0067758848966880825,0.04020165148384296,0.028429282160625447,0.006602560208746544,0.012658516269990962,0.02974004229034014,0.001758127383361434,0.013166487602435273,0.016861387591030418,sanding
0.007785045550301514,0.0017725251162377656,0.010238516479916126,0.007299834877735066,0.023116950966635307,0.028758606012849346,0.005879471999896521,0.013178442703425736,0.0293638325674267,0.0016133794329616644,0.013222283779298927,0.016973606042603753,sanding
0.00905441977919892,0.0013141371191696335,0.0107357533868618,0.017585695092184214,0.04050616503831883,0.02811176111749873,0.005613193699526863,0.012765425101421302,0.029670420963932635,0.0011878133674378306,0.01299737712929531,0.017204567468571557,sanding
0.007524018548210525,0.0016949396728596939,0.01077322680766666,0.017954514034145896,0.03923445726975259,0.02775957983099968,0.005837759327863742,0.013054830287206267,0.02969817742285156,0.001273864416750349,0.01292325267931336,0.016892291371755415,sanding
0.006651691491887929,0.0017505332561931679,0.011317158849905048,0.007433650948459524,0.02896158246086566,0.028298069222736935,0.005605660820522997,0.01353951303787408,0.02968142922017981,0.0014233576694283126,0.012973651810537978,0.01714642359896573,sanding
0.008031380208751633,0.002121385239104512,0.01152599573077118,0.007434070941852183,0.0397370993506958,0.028461809943417925,0.00613707776904949,0.012985410890864114,0.029958417716209898,0.0015389085322013534,0.012820693625166508,0.01669463017220511,sanding
0.008911107249631303,0.0016123334479702415,0.01090557733035829,0.018965795188377762,0.028547530210423847,0.029409429251206525,0.005910647558725239,0.012648413319791099,0.02954716022243102,0.0014411134388295623,0.012952227005911397,0.017372753268683528,sanding
0.007534227997793979,0.0016896849633076464,0.010880256251795242,0.0069061822762500535,0.022132609744545416,0.028329494686803267,0.006194942448984649,0.013552210568826934,0.03000939293999022,0.0015840121221279682,0.012865244285258487,0.016925886620255886,sanding
0.007910053203017842,0.010457647573093727,0.011576150814092806,0.007268783627210255,0.028989204420273886,0.028577715668875722,0.005399877098797231,0.013072715673663185,0.02932637320742544,0.0013083720371588126,0.013021918493207768,0.017144865541391992,sanding
0.007726804904357609,0.0018043734403447077,0.011335837797764118,0.007152574426113191,0.029095903005897737,0.027933351024455648,0.005914657408256271,0.0128781342159148,0.029521863892398713,0.00153372915815447,0.012872199652965497,0.01696652165946155,sanding
0.008635697902561693,0.001691373689735087,0.011085970593354404,0.006614767203190435,0.03968474439056138,0.028258965156695962,0.005693211073523267,0.013615167296368153,0.029637620810351824,0.001559239970305834,0.012731765883196234,0.017283097131005877,sanding
0.00843375119759267,0.0016550997263789131,0.011391052556038282,0.005869860496895431,0.028427019313316922,0.02841433787489167,0.005708942144438519,0.013520072575749586,0.02931949453191427,0.0016810850529852793,0.013825120520488138,0.016784719191647923,sanding
0.007954462294257832,0.0019545344025418327,0.010868832752575368,0.0076501494839209165,0.028483861044332284,0.028127100742836728,0.006667764625241623,0.01384054310291136,0.032621850768081474,0.0013441053520527782,0.01751727641386317,0.01782848992690319,sanding
0.008049902958419836,0.0019301952604827456,0.022673783211423958,0.014690910586710897,0.038532824186283086,0.025741881010729214,0.00628713733434179,0.013185480149259637,0.0391109303316998,0.005014489367026022,0.02181919740264274,0.03229609055823793,sanding
0.008163478556174528,0.016359463213293044,0.03679297695655853,0.02355707053693631,0.025209363766077273,0.03335512534856106,0.007408373239770518,0.013292251414960161,0.04144476449012579,0.003162665367865422,0.025965258484148213,0.04718271980070019,sanding
0.00962550064635237,0.02132796437376831,0.02674669277143881,0.016793062450040638,0.03424188467333242,0.038143189533508794,0.009083378144665514,0.011680332655874039,0.035468162004376774,0.008790366461587417,0.03217710277366626,0.024463754501330825,sanding
0.012532176362811518,0.02422920831061845,0.011435838086830031,0.002662340895180178,0.024955952743407887,0.03136369338853343,0.009804661724463513,0.010813862073514797,0.03586170292882528,0.014173641279312862,0.033741265229963596,0.021356614891113297,sanding
0.012599933220353932,0.02718573292735972,0.013220588157525952,0.006421955896575684,0.026203253395941636,0.031616454467563095,0.009913563638634744,0.009073298643088189,0.03814915556844149,0.01144971742097405,0.042018395653617154,0.036507942302847984,sanding
0.008828727974530886,0.03335601542382153,0.02466663048894195,0.015775234459422152,0.029804926754392502,0.04298209795620124,0.010738681697957395,0.012081278005912577,0.040180975111904015,0.011373976342129208,0.04041628776396888,0.046146533703120884,sanding
