R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11
0.009509074985712615,0.0027392149574284905,0.009983307909175858,0.012738674999458608,0.043291729980821765,0.027412656423470714,0.005445593888301067,0.013728833570842154,0.02255930842184102,0.0070419708504658625,0.014863478945882073,0.015487691931222257
0.009375005859378662,0.0029016281325614617,0.010053959601179531,0.012270631225811518,0.04288495681484849,0.028699757487049237,0.0062148974821585835,0.012850811078941246,0.02291102959875914,0.007342925641863488,0.015194681861348529,0.015165738776215874
0.008865460432120272,0.0032962516015662465,0.010265854842865692,0.013440029245503637,0.043616125754013774,0.02847769626828268,0.005148413310501836,0.01324136762141341,0.022588660492432796,0.006918490496069606,0.015197545292484358,0.015465416236212582
0.00971001053536143,0.002948553925955324,0.01008744808747028,0.012824310789477397,0.0519108379447461,0.029503398791540788,0.0051205662936675495,0.013964276587633516,0.022762347435366315,0.007151628103895992,0.015395866209922636,0.015485965069857187
0.009137001108318235,0.002178284291803835,0.010328177851222597,0.013190367338540012,0.04316559184342977,0.02886194466010731,0.005652818580136335,0.013725215691764598,0.023073692759936686,0.007641491772023735,0.015411502529027565,0.015302593483543592
0.009622166392274555,0.0022550451561517294,0.009852595321396585,0.01260142572530656,0.043616696471409255,0.029328953542937592,0.005345606846653249,0.013631927063737437,0.0226628895184136,0.007756158777877574,0.015287761535380466,0.015459773668913488
0.00905264110804327,0.0022133511109694564,0.009756887630900844,0.012833214412213115,0.04331554508281932,0.02928274836163023,0.0056148325909588835,0.013666859369383774,0.023600045312087,0.007227919428936543,0.015431789177068979,0.015442536776401332
0.009292488509837958,0.0027923468474543712,0.01010156109525166,0.013854003737810209,0.05097853293977906,0.02960094959846312,0.005786387407895178,0.013246313882004486,0.02322227666555974,0.007053832735285882,0.015556672178914177,0.015317853110979378
0.009123396677076462,0.002667497503222337,0.010043367259827936,0.014162320014615514,0.043382818668494534,0.029031115549646113,0.005801712549510365,0.013408618255297409,0.02322572853303976,0.007050903291220639,0.015357420936157665,0.015761062295598725
0.009126152633077558,0.0029734126362306167,0.009568672930319967,0.013471388118774536,0.0429636312861163,0.02902007899265502,0.005348291434818233,0.013213129093592558,0.02277287022424445,0.006696412129345218,0.0151769019693548,0.015158175561989359
0.009183815912246802,0.0028626874738243015,0.009523455795451406,0.013323420708326338,0.051454886927885975,0.029295873676192706,0.0053032560931760885,0.013766121849450938,0.023085624581573053,0.006768968341535066,0.0152699731248473,0.015091514946636403
0.009390429649718193,0.0029191693678713884,0.009651848184149542,0.013848478259966403,0.042780382627742225,0.02944753479962425,0.00569156822625122,0.013648411461390007,0.02276162208423621,0.007159902825798849,0.015044765700341366,0.015084116576086546
0.008766316306224962,0.003738022907351981,0.009302213089516127,0.0143045349667205,0.0425684074307412,0.02840626642237278,0.005326566463298359,0.013654393642514319,0.023658727586312954,0.007942042153182931,0.015580910891212522,0.01574760990650644
0.00941405952133273,0.002272018815951026,0.010239533404941803,0.01380153666309207,0.04286804358822672,0.02851513155455943,0.005334926698107169,0.013397283031001314,0.02320982611198277,0.007143035718750111,0.015031513568195723,0.01532320469502992
0.009137176429739682,0.002706266197003189,0.0095388627577043,0.01280375303608994,0.05135025495401584,0.028410947306216034,0.00561835629368272,0.013574414942715968,0.023314588404256313,0.007241769367025907,0.015468861182439748,0.015664970150399377
0.009408709642516078,0.0022668520044865537,0.00951962995294447,0.01358498153121761,0.04326532024990049,0.029258844217135732,0.005354525832642153,0.013203446627707697,0.02311251635210532,0.0071731997779177345,0.01524471580038569,0.015294261593050288
0.009587534670922254,0.0026248723983905336,0.009483904865053518,0.013300773040929139,0.04355495546505804,0.030200713944877656,0.0053405737271543605,0.013704506178676612,0.023058050949069375,0.007449460994249761,0.015805204021476112,0.015517131689241506
0.008840669910603146,0.0034239317076277327,0.009873471463199104,0.013167371779425454,0.04373745281822277,0.029293299157817646,0.0056299205505611905,0.013427739292384994,0.023204601936656077,0.007403201292302818,0.015508708915491495,0.015026702450254103
0.00988015373519212,0.003225156218504334,0.010045031877908665,0.012899530715072586,0.04294057025077293,0.02907957334449989,0.005502359962187783,0.012884356458605783,0.023005058812432855,0.007031982864464156,0.015785344570393954,0.015356359682799033
0.008807468733485996,0.002744644580877677,0.009976863653188256,0.013616613357625372,0.04337717319637714,0.028487350192147178,0.005411161711485515,0.013449483069118239,0.022514561292515934,0.007316059628812399,0.015425481043626347,0.015471374090089814
0.0094001836795891,0.0026726048382699906,0.00966040768852527,0.014457218199902847,0.043233521543263785,0.029622256979003742,0.005635603034884947,0.013952566853724079,0.02425330148066406,0.007034055379117999,0.015309785862025147,0.015691000269885205
0.009166566598314635,0.0028855323735090814,0.009897736585597606,0.014092347150879715,0.04328048785765913,0.029176720478264802,0.005586570331847864,0.013887557997914088,0.02247004181674782,0.006619149995234212,0.015486444714941013,0.015233104582879513
0.009773613783922991,0.0033614631776919856,0.009814072398412083,0.014161838659836883,0.035593015226691914,0.029838009446713793,0.005884616787870158,0.013112398165837745,0.023280339520471566,0.006737091732241027,0.014900398287646228,0.015153145262596429
0.008920391747924002,0.0026208926026354646,0.00993737466486204,0.014330384140277264,0.04383311855105243,0.027296748411329244,0.005214609876783983,0.013393783944871184,0.022592743210880666,0.006534273571738483,0.015456953929003118,0.015319143721142563
0.009104930684162701,0.0027497660636521346,0.01048585144065113,0.013519761835875499,0.043637633094780935,0.027493903226959424,0.0055348766414368535,0.013141571521688851,0.022841375781746085,0.007437609611771654,0.015181233566314664,0.015530168906117024
0.009513399147028631,0.003145141683915148,0.009669898669131845,0.013899815688443971,0.04269417309925541,0.0290285030871813,0.005512907093733203,0.013671437086780813,0.023925734520049764,0.007239289651942193,0.014810053656824399,0.015396150654413382
0.009541165357936818,0.0029913788461653516,0.010261188286648347,0.013107620114953828,0.036088315325263985,0.02901224897151577,0.005445095738395821,0.013316465809974034,0.023912861532575297,0.006416195504043486,0.014895315721112025,0.0151584972472169
0.00963769030824225,0.0032854004361040543,0.009878240803851723,0.013226585966856821,0.05117288246612355,0.02937452817164124,0.005358956289673023,0.013465510787220691,0.02401064151632003,0.007141857282837546,0.01511172095300557,0.015194612598157199
0.009961290425406869,0.0026169830686429427,0.010181153259954369,0.012280893508688117,0.043329621429097576,0.02859536697864212,0.0061287390670955975,0.013391703304134955,0.02276203656493554,0.006730331112099723,0.014942010058961173,0.015360888719577762
0.009136016094005951,0.002738702577995511,0.009974704150274903,0.011980825886251642,0.04296270836913559,0.027819274862781428,0.005062501645313034,0.014181983208531881,0.02344319596401938,0.006885364194453701,0.014744608633853032,0.015249528027107561
0.010021405722623524,0.002891835798093181,0.010395777650949291,0.010867545271476715,0.04310939439922748,0.028133272940574088,0.005297045043422526,0.013717383491403315,0.022963061619079548,0.007305343639712141,0.01593859179353786,0.014939822395391364
0.009253672782727464,0.002366806205671199,0.01021024945681473,0.012293122121104463,0.03627196721014164,0.0282475502312062,0.006377815406888678,0.013865337073276921,0.022873140985466407,0.00687111910603992,0.015912671260124436,0.014907328591809018
0.009372167848028424,0.0021650378004774776,0.009934689352198647,0.012550767855977429,0.051221898385997985,0.028574612599689683,0.005275697394438571,0.013140259125909963,0.022811467781082905,0.00620527932754629,0.015480595074074649,0.015112246208715234
0.00938623414899708,0.0022715264612388998,0.010027203803920035,0.012748321364784293,0.035900712988159944,0.028925392734519852,0.005414545743977536,0.012863473523755619,0.023439569274475013,0.007174872448705042,0.014955440265728261,0.015287621307275071
0.0099072679717841,0.0018028643548296662,0.009918214404024414,0.013124151851686583,0.051316788800624014,0.02910310064434265,0.005368441509219225,0.012740703745512087,0.02379796479805047,0.004709909602704995,0.01603769499832406,0.015180426964688808
0.0091624511755883,0.0020108788546034043,0.013817002097420919,0.026581181586683888,0.0520267001024926,0.027007391923169373,0.0052206780616666495,0.013152287708924092,0.02930901076226875,0.0034541156997503018,0.017396629229120567,0.014551995005755314
0.008927080924881292,0.0018791273858575748,0.02685919336470487,0.007212894346966184,0.045202030475208946,0.0373964585553748,0.006249488323143542,0.011415863941167205,0.03318841060701603,0.014428036560644645,0.04682393264845528,0.05135236451962431
0.009392837585627456,0.006948227368233815,0.04319430526279416,0.02758164165931156,0.041548599396714334,0.04433449489709963,0.007007561158490011,0.010533855812581637,0.042120160393570784,0.0035264735898866383,0.0470772113343094,0.09054280411064332
0.015936280376542433,0.017412775056547987,0.04248106406569272,0.03021841873058467,0.037778617302606725,0.04783109882383328,0.00980667128233995,0.007343243775132252,0.04512207778143768,0.010599058803578242,0.03822016342941882,0.09341254717333633
0.02338147579198904,0.02446381434900567,0.030137820252012452,0.0227759822711754,0.04616783856030212,0.060420405179237135,0.009756069006627299,0.009096160056032346,0.04464803950458535,0.014664906877841326,0.04416570974295557,0.09008846687447074
0.024834293178764694,0.02565523469408698,0.026696281741878995,0.020482737149130716,0.04673028215744367,0.052086046148236885,0.009714821417295296,0.01084903459865624,0.042178609539957904,0.00805181504014635,0.05536516091884021,0.08744469123279526
0.025645365625977728,0.02666154764951796,0.025224561660179747,0.02044617646277058,0.040463059250057665,0.04664092087834182,0.009673902423215818,0.01248665488758889,0.03856745061437949,0.007017809797704615,0.0589219637512079,0.08691722003963424
