R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6
0.000828791074782,0.0010562635690258,0.00114579640527,0.0006636607700628,0.0006086053510164,0.0006653410411762,0.0002163616767562,0.0005380780336906,6.274399492596843e-05,0.0003492676573224,0.0004588042423609,0.0012748518016651,0.0006123727213917,0.0009950302220529,0.0006976805192529,0.0057088052612349,0.0004256993143559,0.0007912700129
0.0001735550883722,0.0008328712286133,0.000649914048867,0.0006431218885763,0.0008886497828539,0.0001100265101174,0.0004311898597943,0.0012779511886543,0.0008865939109971,0.0007075885403771,0.0010635499830736,0.0007978445431821,0.0002278534636096,0.0010874798122966,0.000344974283547,0.0012374226811905,0.0010935801704169,0.0002971904918538
0.0003847064564707,0.0002766584713972,0.0004214682081051,0.0015817368862939,0.0004587390383159,0.0005435851167047,0.0005268547896526,0.0016304529479812,0.0001724960618286,0.0004961393905602,0.0004276287149603,0.0016513487556096,0.0009027230188502,0.0003865534297049,0.0004663020526569,0.000155428378875,0.0011148683412955,0.0005206170603295
0.0006455817931473,0.0016567765391164,0.0009539869212209,0.0018820068290499,0.0008283923869414,0.0013036585874598,0.0004286959279931,0.0011074003356308,0.0003511428664431,0.0002323244049747,0.0004087735057539,0.0012620978388341,0.0001082758267785,0.0011774660318711,0.0002782340739302,0.0067712187990701,0.001556948747894,0.0006540046996777
0.0006755455875051,0.0005580016799198,0.0017422959592846,0.0022983343740957,0.0004146460790465,0.0002216440170123,9.83251133046985e-05,0.0006697009925705,0.0003322148986555,0.0004294232202017,0.0006044773881934,0.0011600543183834,0.0004367381703133,0.0003841833556556,0.0004112338900151,0.0007900288249917,0.0017926052523692,0.0007545557055276
0.0004441339060173,0.000167495532266,0.001217136996802,0.0013548264812758,0.0002638358139176,0.0006859780932895,0.000263193799912,0.0010658713844976,6.089583509817076e-05,0.0011159930848604,0.0001984637673928,0.0005149825415768,0.0009360478971964,0.0004683194534374,0.0002654219368735,0.0001735099903321,0.0001167535943878,0.0012044203672783
0.0010627311041627,0.0007204966008411,0.0013509073774672,0.0024748328064826,0.0006025699366771,0.0009334245226863,0.0003821778980788,0.0003746009329436,0.0003898614046605,0.0006370232159925,0.0007506741616977,0.0001939497191171,0.0001188932248719,0.0004803705463105,0.0003267080640632,0.0049396742284846,0.0001110442871267,0.0007420405209035
0.0008057401573401,0.0012505599382123,0.0001239277430866,0.0022703465048242,0.0002529636973821,0.0007169373583152,7.80018904694178e-05,3.139223074183646e-05,0.0004514502704503,0.000858760442849,0.000279934165083,0.0007503200490169,0.0010195633821772,0.0003686631731407,0.0004171574002033,0.0001971134625695,0.0010245454450451,0.000496035879664
0.00042926056348,0.0006636604177065,0.0011558284440826,0.0028363363043956,0.0004736491679665,0.0016272823652223,0.0002384301472985,0.0006058452556106,0.0002549587695975,0.000270831997793,0.0006129963814823,0.0002982727887792,0.0007270213100851,0.0005030093540625,0.0008087761922169,0.0002808708761028,0.0030685756070946,0.000847280344477
4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,0.0003801759819413,0.0006349734485852,0.0003371650795969,0.0004648258169836,0.0005140095619142,0.0006286525894168,0.0002453372791418,0.000549109588601,8.657285493589246e-05,0.0057656128471691,0.0002501194758206,0.0001496763436164
