Port2,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,Port3,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,Port4,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,Port1,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,timestamp
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008833589051013,0.0016287321378982,0.0005572755555981,0.000226551131027,0.0007732461173572,0.0004681798958777,4,0.0007291655349409,0.0005718406888438,0.000959363749961,0.0006940639624361,0.0013457410659614,0.0002541859921099,1,0.0017520373127882,0.001812921050914,0.0008919330365218,0.0005596778628544,0.0003644985285741,0.0017865405607236,1691407117.0882163
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005392991031563,0.0002761158518055,0.0008380821863619,0.0001518043802607,0.0004481709359803,0.0003343331789939,4,0.000349958202742,0.0006321098531071,0.0008526228597567,0.0008813849730913,0.0035808962052168,0.0004344215099813,1,0.0013503852784237,0.0003682087395964,0.0004472112910117,0.0016390006095443,0.0007618279116072,0.0014638849339597,1691407117.0966132
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0004053955718236,0.0003138990086441,0.0010091897830837,0.0006848099765308,0.0007027862240968,0.0004641781211127,4,0.0001350660397297,0.0004123384700123,0.0018399460380625,0.0053847715429901,0.0044961218700809,0.0011682678361495,1,0.0004895589558471,0.0009117158218252,0.0012779898957006,0.0009067426928099,0.0010017353060707,0.0008043039915194,1691407117.1040993
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0002992849961727,0.000506000021758,0.0005855796902224,0.0007779838657038,0.0010184230696452,0.0009690370378553,4,0.000633074829888,0.0005825514085597,0.001500660590792,0.0007195954549487,0.0053408418448549,0.0010378907983196,1,0.0017208250461267,0.0005954532736204,0.0001113790333758,0.0010153178980645,0.0004989688559108,0.0011239981242719,1691407117.117447
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000684365499082,0.0006092834570645,0.0011651322069689,0.000616123394729,0.0002730950025963,0.0009887054247102,4,0.0009673075207966,0.000494499313264,0.0015269175717979,0.0058670812737433,0.0055869136603949,0.0007480776648246,1,0.0005447704029726,5.692882784699118e-05,0.0013824159183534,0.0112410451024452,0.0003371369347064,0.0002652141559222,1691407117.139688
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0010038795930753,0.0003102349937006,0.0043635043477957,0.0008572980280859,0.0004962739011093,0.0005864473541225,4,8.903481497207668e-05,0.0008215397198845,0.0004732000994288,0.0051100657052248,0.0002620851800947,0.0005800509795204,1,0.0023831942858627,0.000276278651443,0.0004587053280642,0.0002474604801282,0.0117319943217147,0.0006450095674269,1691407117.1516938
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003216204938637,0.0002614700231678,0.0013451844079675,0.0006623489902257,0.0007541792655455,0.0009041704136995,4,0.0003479386375418,0.000706154795769,0.0005160534154505,0.0056020180709898,0.0008168896843579,0.0001375804037076,1,0.0015077239188639,0.0003093666571546,0.0007176841538066,0.0004063946523665,0.0003850157121061,0.0002948415872171,1691407117.1668649
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.001358391490601,0.0004072647063794,0.0010301367537444,0.0008020176840087,0.0008845229621718,0.0003864911898753,4,0.0004386670435109,0.0007392868100143,0.0002535840620388,0.0001818655561422,0.0006143167627324,0.0001988042836836,1,0.000424790068748,0.0004757586232915,0.0004264606009043,0.0006655111618201,0.0004615674266697,0.0013961749831691,1691407117.1752
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0006708220065037,0.0003088666662754,0.0006540630461835,0.0007891793410841,0.0012027804917183,0.0003977164711094,4,0.0012035752443348,0.0009777429527465,0.0007943783433398,0.0004528997198951,0.0004184103044416,0.0004167074519085,1,0.0008534341250414,0.0006207163202893,9.428906680083374e-05,0.0004795528725744,0.0121422587029639,0.0003614357326063,1691407117.1819177
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0011781127387916,0.0002779088040592,0.0011691194402817,0.0008873346729129,0.0005356114961294,0.0006338389635769,4,0.0005265536254322,0.0008087123552485,0.0007114582774542,0.0057905891345385,0.0007686733036994,0.0001608208915858,1,0.000312673191635,0.0005654892859289,0.0009416996567598,0.0007628716472267,0.0120479314906423,0.0001745513215009,1691407117.187929
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0001944411681107,0.000335272504798,0.000500360409603,0.0006044970104298,0.0008614168877852,0.0002554320629513,4,0.0006760193949964,0.0001925011967318,0.0006922385589752,0.000867886498498,0.0004686709191053,0.0006325959352295,1,0.0015798981344878,0.0006791408542206,0.0017979412493929,0.011161038155125,0.0008053780569432,0.0008045946214941,1691407117.200921
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.001319923264941,0.0008406866089299,0.0011333472583933,0.0004022815802103,0.0002087795299855,0.0001282508266054,4,0.0004499479680169,0.0006340675222308,0.000556071002482,0.0007150494892902,0.0024912519687118,0.0006252226574188,1,0.0005622108198371,0.0010885275509588,0.0025483628297836,0.0008126940865858,0.0006248128685458,0.0004706000390503,1691407117.206406
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000107125947312,0.0003438672716346,0.0001927317577704,0.0002695209800925,0.0004947222780021,0.0005389491257355,4,0.0012412931046788,0.0003283554968368,0.00029585251752,0.0055479887153909,0.0039628113927657,0.0005292279358258,1,0.0004501780724383,0.0005189201396434,0.001755602874905,0.0009465308508479,0.0121157490198359,0.0012140298141441,1691407117.207912
