Port2,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,Port3,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,Port4,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,Port1,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,timestamp
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005588855196785,0.0006381543147751,0.0008071799626291,0.0009934918336958,0.0006664228003499,0.0148418599818929,4,0.0002155287888915,0.0002932154146041,0.0006115989122101,0.0005799890440069,9.54607579104965e-05,0.0004901744050336,1,0.0015600575349218,0.0013743613171164,0.0003332127769506,0.0004386566718451,0.0007853409514546,0.0019614038866002,1691407512.9000845
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0006407745067093,0.0002500255026012,0.0001320603019561,0.0003901711212503,0.0007075938476413,0.0005457199836545,4,0.0001747754493765,0.0003420599087144,0.0002368539710238,0.0002136839117062,0.0003439346015233,0.0005949569072712,1,0.0006595176274882,0.0007634297601105,0.0009613685581336,0.0017099360278733,0.0012867964263604,0.000509606308233,1691407512.910236
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008649378001604,0.0005518510712891,0.0004702517121041,0.0001349739525241,0.0002207882272184,0.0014825557303818,4,0.0004363230948082,0.0003928477201239,0.0005099847881737,0.000311734040238,0.0005447636959449,0.0002240302207806,1,0.0005406501902439,0.0007945379015237,0.0005822445457368,0.0009215613940975,0.0008309974686986,0.0003685504545756,1691407512.9148862
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003676283935731,0.001414241525299,0.0006735521205744,0.0004300884365046,0.0003744444367891,0.0017618677207333,4,0.0002123701942934,0.0006809549166987,0.0004586239346567,0.0007211222623855,0.0006948102330817,0.0002850932548589,1,0.001728347052088,0.0007993342504894,0.0012387858907242,0.0001778266050118,0.0001795261164002,0.0009567255799144,1691407512.9169865
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005437692956534,0.0003449553386323,0.0003024835411143,0.0004269163774557,0.000780152666515,0.0007346063424589,4,0.0002222976997011,0.0004306338447885,0.0012177854644396,0.0004186886537384,0.0009474367761227,0.0006646601463063,1,0.0012506243742188,0.0006903944658531,0.0012024699695149,0.0001649461572856,0.0009789489749278,0.0003925990524464,1691407512.9190753
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0007231090391305,0.0006178190123915,0.0002747769388288,0.0004738886410977,9.19150070753415e-05,0.0148340881411849,4,0.0001561613003813,0.0002833188089945,0.0009278067964816,0.000153526980701,0.0002882025690549,0.0006509186871074,1,0.0014572492613203,0.0004426030191722,0.0005192126866504,3.580450629286218e-05,0.0008868475628763,0.0010570193217846,1691407512.92049
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0002929908730999,9.022091692203546e-05,0.0002012744010743,0.0011031989681118,0.0004051287189145,0.0008774606849352,4,0.0005129067600649,0.0004058397746193,0.0008054643993595,0.0006286576480697,0.0002918548704959,0.0010744667797435,1,0.0006081839050819,0.0007629297907756,0.0013336128585884,0.000737237279966,0.0008344372242445,0.0009460502543787,1691407512.9235048
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005233314505612,0.000649591251201,0.0006037653828098,0.0005543770423596,0.0005526219313318,0.0006504848160907,4,0.0006319982349553,0.0001559479604774,0.0008248339011352,8.422357582797188e-05,0.0005173467664145,0.0016743317574522,1,0.0008969346719425,0.0005263252356265,0.0018625033012871,0.0016866054350185,0.000767631320801,0.0004716635838734,1691407512.9266226
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000980366013769,0.0001336291794279,0.0003119789269466,0.0005647211364674,0.0001349468277786,0.0011684608577881,4,0.0001960324867389,0.0003459387055423,0.000946222754462,0.0003880967317132,0.0006000963394663,0.0006367259450031,1,0.0001867882015307,0.0006002910090753,0.003051905899975,0.0037700069556628,0.0002514073721843,0.0013004092257792,1691407512.9307032
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000265686538399,0.0004598118891169,0.0007379163794634,0.0007377870240526,0.0005263368983535,0.0136042390808976,4,0.0010296524459651,0.0001571874759306,0.0015734749880415,0.0008701529111009,0.0013272125828247,0.0010332601268533,1,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,4.656612875245797e-06,1691407512.9327283
